,short_name,full_name
0,aa,afar
1,ab,abkhaz
2,ae,avestan
3,af,afrikaans
4,ak,akan
5,am,amharic
6,an,aragonese
7,ar,arabic
8,as,assamese
9,av,avaric
10,ay,aymara
11,az,azerbaijani
12,az,south azerbaijani
13,ba,bashkir
14,be,belarusian
15,bg,bulgarian
16,bh,bihari
17,bi,bislama
18,bm,bambara
19,bn,bengali; bangla
20,bo,"tibetan standard, tibetan, central"
21,br,breton
22,bs,bosnian
23,ca,catalan; valencian
24,ce,chechen
25,ch,chamorro
26,co,corsican
27,cr,cree
28,cs,czech
29,cu,"old church slavonic, church slavonic, old bulgarian"
30,cv,chuvash
31,cy,welsh
32,da,danish
33,de,german
34,dv,divehi; dhivehi; maldivian;
35,dz,dzongkha
36,ee,ewe
37,el,"greek, modern"
38,en,english
39,eo,esperanto
40,es,spanish; castilian
41,et,estonian
42,eu,basque
43,fa,persian (farsi)
44,ff,fula; fulah; pulaar; pular
45,fi,finnish
46,fj,fijian
47,fo,faroese
48,fr,french
49,fy,western frisian
50,ga,irish
51,gd,scottish gaelic; gaelic
52,gl,galician
53,gn,guaraní
54,gu,gujarati
55,gv,manx
56,ha,hausa
57,he,hebrew (modern)
58,hi,hindi
59,ho,hiri motu
60,hr,croatian
61,ht,haitian; haitian creole
62,hu,hungarian
63,hy,armenian
64,hz,herero
65,ia,interlingua
66,id,indonesian
67,ie,interlingue
68,ig,igbo
69,ii,nuosu
70,ik,inupiaq
71,io,ido
72,is,icelandic
73,it,italian
74,iu,inuktitut
75,ja,japanese
76,jv,javanese
77,ka,georgian
78,kg,kongo
79,ki,"kikuyu, gikuyu"
80,kj,"kwanyama, kuanyama"
81,kk,kazakh
82,kl,"kalaallisut, greenlandic"
83,km,khmer
84,kn,kannada
85,ko,korean
86,kr,kanuri
87,ks,kashmiri
88,ku,kurdish
89,kv,komi
90,kw,cornish
91,ky,kyrgyz
92,la,latin
93,lb,"luxembourgish, letzeburgesch"
94,lg,ganda
95,li,"limburgish, limburgan, limburger"
96,ln,lingala
97,lo,lao
98,lt,lithuanian
99,lu,luba-katanga
100,lv,latvian
101,mg,malagasy
102,mh,marshallese
103,mi,māori
104,mk,macedonian
105,ml,malayalam
106,mn,mongolian
107,mr,marathi (marāṭhī)
108,ms,malay
109,mt,maltese
110,my,burmese
111,na,nauru
112,nb,norwegian bokmål
113,nd,north ndebele
114,ne,nepali
115,ng,ndonga
116,nl,dutch
117,nn,norwegian nynorsk
118,no,norwegian
119,nr,south ndebele
120,nv,"navajo, navaho"
121,ny,chichewa; chewa; nyanja
122,oc,occitan
123,oj,"ojibwe, ojibwa"
124,om,oromo
125,or,oriya
126,os,"ossetian, ossetic"
127,pa,"panjabi, punjabi"
128,pi,pāli
129,pl,polish
130,ps,"pashto, pushto"
131,pt,portuguese
132,qu,quechua
133,rm,romansh
134,rn,kirundi
135,ro,romanian
136,ru,russian
137,rw,kinyarwanda
138,sa,sanskrit (saṁskṛta)
139,sc,sardinian
140,sd,sindhi
141,se,northern sami
142,sg,sango
143,si,"sinhala, sinhalese"
144,sk,slovak
145,sl,slovene
146,sm,samoan
147,sn,shona
148,so,somali
149,sq,albanian
150,sr,serbian
151,ss,swati
152,st,southern sotho
153,su,sundanese
154,sv,swedish
155,sw,swahili
156,ta,tamil
157,te,telugu
158,tg,tajik
159,th,thai
160,ti,tigrinya
161,tk,turkmen
162,tl,tagalog
163,tn,tswana
164,to,tonga (tonga islands)
165,tr,turkish
166,ts,tsonga
167,tt,tatar
168,tw,twi
169,ty,tahitian
170,ug,"uyghur, uighur"
171,uk,ukrainian
172,ur,urdu
173,uz,uzbek
174,ve,venda
175,vi,vietnamese
176,vo,volapük
177,wa,walloon
178,wo,wolof
179,xh,xhosa
180,yi,yiddish
181,yo,yoruba
182,za,"zhuang, chuang"
183,zh,chinese
184,zu,zulu
